idCrime,dataCrime,numeroArtigo,lugarCrime,descricaoCrime,marcaCelular
179,30/11/2018,,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
1510,23/02/2021,157,GUARULHOS,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
673,30/08/2019,,,ROUBO (ART. 157) - OUTROS,ASUS
587,31/08/2019,157,SAO PAULO,ROUBO (ART. 157) - VEICULO,ASUS
588,31/08/2019,157,LOUVEIRA,ROUBO (ART. 157) - ESTABELECIMENTO COMERCIAL,MOTOROLA
1110,09/01/2020,155,REGENTE FEIJO,FURTO (ART. 155) - INTERIOR DE VEICULO,SAMSUNG
528,02/01/2019,129,GUARUJA,LESAO CORPORAL (ART. 129),
814,31/12/2019,157,TABOAO DA SERRA,ROUBO (ART. 157) - VEICULO,NOKIA
896,28/12/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,SAMSUNG
1504,26/02/2021,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
1088,09/01/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,
24,24/11/2018,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
253,30/04/2018,157,SAO PAULO,,SAMSUNG
184,30/11/2018,,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
55,30/11/2018,155,,FURTO (ART. 155) - TRANSEUNTE,MOTOROLA
1203,28/11/2021,155,SAO JOSE DO RIO PRETO,FURTO (ART. 155) - OUTROS,APPLE
909,01/01/2020,180,SAO PAULO,A.I.-RECEPTACAO (ART. 180) - VEICULO,
1325,12/01/2021,,,,XIAOMI
969,30/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
208,30/04/2018,,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
706,09/01/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
1280,30/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
857,31/12/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,MOTOROLA
178,23/11/2018,,EMBU DAS ARTES,FURTO (ART. 155) - OUTROS,MOTOROLA
477,15/01/2019,155,SAO PAULO,FURTO (ART. 155) - RESIDENCIA,MOTOROLA
855,24/12/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,APPLE
1289,27/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,APPLE
1420,03/01/2021,157,SANTO ANDRE,ROUBO (ART. 157) - OUTROS,APPLE
264,30/04/2018,157,SAO PAULO,,MOTOROLA
205,30/04/2018,,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,LG
1324,30/11/2021,,,,SAMSUNG
1163,28/11/2021,155,BARRETOS,FURTO (ART. 155) - OUTROS,SAMSUNG
1220,27/11/2021,155,COTIA,FURTO (ART. 155) - OUTROS,MOTOROLA
1329,12/01/2021,,,,APPLE
914,01/01/2020,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,MOTOROLA
906,01/01/2020,157,ITANHAEM,ROUBO (ART. 157) - OUTROS,SAMSUNG
570,02/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,ASUS
934,31/12/2019,157,SAO PAULO,ROUBO (ART. 157) - VEICULO,SAMSUNG
704,31/08/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
975,31/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,APPLE
1084,29/08/2020,155,OSASCO,FURTO (ART. 155) - OUTROS,SAMSUNG
637,30/08/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,LG
582,30/08/2019,157,DIADEMA,ROUBO (ART. 157) - OUTROS,OUTROS
939,31/12/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,MOTOROLA
1211,30/11/2021,155,SANTO ANDRE,FURTO (ART. 155) - OUTROS,MOTOROLA
1252,27/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,APPLE
356,30/04/2018,157,ARACARIGUAMA,ROUBO (ART. 157) - VEICULO,SAMSUNG
186,30/11/2018,,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
330,05/01/2018,157,SANTOS,ROUBO (ART. 157) - OUTROS,SAMSUNG
1090,29/08/2020,147,MOGI MIRIM,AMEACA (ART. 147),
743,31/08/2019,157,SAO PAULO,ROUBO (ART. 157) - INTERIOR DE VEICULO,LENOVO
604,09/01/2019,157,SAO JOSE DOS CAMPOS,ROUBO (ART. 157) - TRANSEUNTE,APPLE
1526,03/01/2021,157,RIBEIRAO PRETO,ROUBO (ART. 157) - OUTROS,SAMSUNG
419,24/01/2019,155,ILHABELA,FURTO (ART. 155) - OUTROS,MOTOROLA
1092,29/08/2020,163,MOGI MIRIM,DANO (ART. 163),
1401,28/02/2021,157,SUZANO,ROUBO (ART. 157) - OUTROS,SAMSUNG
331,05/01/2018,157,SAO PAULO,ROUBO (ART. 157) - VEICULO,OUTROS
886,01/01/2020,157,ITAQUAQUECETUBA,ROUBO (ART. 157) - VEICULO,LG
931,31/12/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
859,31/12/2019,157,GUARULHOS,ROUBO (ART. 157) - VEICULO,LG
1096,31/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
100,12/01/2018,155,SAO PAULO,,MOTOROLA
629,09/01/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,XIAOMI
709,31/08/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,
1392,28/02/2021,157,RESTINGA,ROUBO (ART. 157) - VEICULO,MOTOROLA
875,31/12/2019,157,SUZANO,ROUBO (ART. 157) - VEICULO,SAMSUNG
72,12/01/2018,155,,,SAMSUNG
597,30/08/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,APPLE
81,12/01/2018,155,SANTANA DE PARNAIBA,,LG
1056,09/01/2020,155,GUARATINGUETA,FURTO (ART. 155) - OUTROS,MOTOROLA
215,30/04/2018,,SAO PAULO,A.I.-ROUBO (ART. 157) - VEICULO,SAMSUNG
624,31/08/2019,157,SANTO ANDRE,ROUBO (ART. 157) - OUTROS,LG
1400,25/02/2021,157,CARAPICUIBA,ROUBO (ART. 157) - OUTROS,LG
655,30/08/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
238,30/04/2018,,,,
674,31/08/2019,,,ROUBO (ART. 157) - OUTROS,MOTOROLA
648,30/08/2019,157,CARAPICUIBA,ROUBO (ART. 157) - OUTROS,MOTOROLA
770,09/01/2019,157,CAMPINAS,ROUBO (ART. 157) - OUTROS,MOTOROLA
1484,28/02/2021,157,,,MOTOROLA
23,30/11/2018,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
447,02/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
944,01/01/2020,157,SANTOS,ROUBO (ART. 157) - TRANSEUNTE,APPLE
101,30/11/2018,155,SAO PAULO,,APPLE
46,30/11/2018,155,,FURTO (ART. 155) - OUTROS,MOTOROLA
795,31/12/2019,157,SAO PAULO,ROUBO (ART. 157) - INTERIOR TRANSPORTE COLETIVO,SAMSUNG
1443,03/01/2021,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,MOTOROLA
317,05/01/2018,157,VOTUPORANGA,ROUBO (ART. 157) - TRANSEUNTE,BLU
1138,29/08/2020,155,SAO PAULO,FURTO QUALIFICADO (ART. 155) - ESTABELECIMENTO ENSINO,MULTILASER
357,30/04/2018,157,ARACARIGUAMA,ROUBO (ART. 157) - VEICULO,SAMSUNG
787,31/12/2019,157,,,MOTOROLA
564,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - INTERIOR DE VEICULO,APPLE
952,31/12/2019,157,GUARULHOS,ROUBO (ART. 157) - VEICULO,ASUS
662,31/08/2019,157,SAO PAULO,ROUBO (ART. 157) - INTERIOR DE VEICULO,SAMSUNG
1497,03/01/2021,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,SAMSUNG
1468,03/01/2021,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,MOTOROLA
1416,03/01/2021,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,MOTOROLA
683,09/01/2019,,,ROUBO (ART. 157) - OUTROS,LG
1341,12/01/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,
1377,28/02/2021,157,SAO PAULO,ROUBO (ART. 157) - INTERIOR DE VEICULO,SAMSUNG
1067,30/08/2020,155,UBATUBA,FURTO (ART. 155) - OUTROS,MOTOROLA
119,30/11/2018,155,SAO PAULO,,SAMSUNG
964,31/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
780,31/12/2019,157,,,XIAOMI
988,31/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
1002,31/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
43,16/10/2018,155,,FURTO (ART. 155) - OUTROS,MOTOROLA
941,30/12/2019,157,MAUA,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
659,31/08/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
1147,31/08/2020,155,BARUERI,FURTO (ART. 155) - INTERIOR ESTABELECIMENTO,ASUS
408,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
435,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
1206,28/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,APPLE
1266,30/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,XIAOMI
1474,27/02/2021,157,,,
328,30/04/2018,157,DIADEMA,ROUBO (ART. 157) - VEICULO,SAMSUNG
1029,31/08/2020,155,SUZANO,FURTO (ART. 155) - OUTROS,XIAOMI
1166,29/11/2021,155,MAUA,FURTO (ART. 155) - OUTROS,XIAOMI
243,30/04/2018,,,,
225,30/04/2018,,,,
1006,08/10/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
1264,28/11/2021,155,JAGUARIUNA,FURTO (ART. 155) - OUTROS,MOTOROLA
794,31/12/2019,157,SAO PAULO,ROUBO (ART. 157) - INTERIOR TRANSPORTE COLETIVO,MOTOROLA
1290,30/11/2021,155,ARUJA,FURTO (ART. 155) - OUTROS,ALCATEL
813,01/01/2020,157,UBATUBA,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
483,30/01/2019,155,GUARUJA,FURTO (ART. 155) - VEICULO,MOTOROLA
1453,28/02/2021,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
529,02/01/2019,155,GUARUJA,FURTO (ART. 155) - OUTROS,SAMSUNG
1361,28/02/2021,157,CAMPINAS,A.I.-ROUBO (ART. 157) - VEICULO,XIAOMI
229,30/04/2018,,,,
1277,30/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
385,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
700,09/01/2019,,,ROUBO (ART. 157) - INTERIOR DE VEICULO,SAMSUNG
98,28/11/2018,155,MARILIA,,OUTROS
638,31/08/2019,157,COTIA,ROUBO (ART. 157) - OUTROS,MOTOROLA
341,05/01/2018,157,SOROCABA,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
1336,12/01/2021,,,,SAMSUNG
895,31/12/2019,157,OSASCO,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
1207,30/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
1107,29/08/2020,155,RIBEIRAO PRETO,FURTO (ART. 155) - OUTROS,MOTOROLA
1128,14/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
316,05/01/2018,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
345,05/01/2018,157,SAO PAULO,ROUBO (ART. 157) - VEICULO,SAMSUNG
617,09/01/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
1263,11/01/2021,155,GUARULHOS,FURTO (ART. 155) - OUTROS,APPLE
503,02/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,LENOVO
1433,25/02/2021,147,LINS,AMEACA (ART. 147),
462,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,OUTROS
500,26/01/2019,155,SAO PAULO,FURTO QUALIFICADO (ART. 155) - INTERIOR TRANSPORTE COLETIVO,SAMSUNG
329,05/01/2018,157,SANTOS,ROUBO (ART. 157) - OUTROS,MOTOROLA
1410,03/01/2021,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,MOTOROLA
990,29/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
487,31/01/2019,155,TAUBATE,FURTO (ART. 155) - RESIDENCIA,SAMSUNG
524,26/01/2019,155,IPORANGA,FURTO (ART. 155) - OUTROS,OUTROS
1527,28/02/2021,157,SAO PAULO,ROUBO (ART. 157) - VEICULO,APPLE
771,09/01/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,SAMSUNG
256,30/04/2018,157,SAO PAULO,,APPLE
1249,30/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
464,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
568,26/01/2019,155,SAO BERNARDO DO CAMPO,FURTO (ART. 155) - OUTROS,SAMSUNG
1402,03/01/2021,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,MOTOROLA
110,30/11/2018,155,ITU,,MOTOROLA
148,12/01/2018,155,APARECIDA,FURTO (ART. 155) - OUTROS,
79,30/11/2018,155,SAO PAULO,,OUTROS
559,01/01/2019,155,GUARACI,FURTO (ART. 155) - TRANSEUNTE,SAMSUNG
1103,31/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
1284,30/11/2021,155,SAO BERNARDO DO CAMPO,FURTO (ART. 155) - OUTROS,SAMSUNG
1121,25/08/2020,155,SAO BERNARDO DO CAMPO,FURTO (ART. 155) - OUTROS,MOTOROLA
1298,29/11/2021,155,SAO CAETANO DO SUL,FURTO (ART. 155) - INTERIOR ESTABELECIMENTO,SAMSUNG
853,01/01/2020,157,GUARUJA,ROUBO (ART. 157) - TRANSEUNTE,APPLE
1460,03/01/2021,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,SAMSUNG
644,31/08/2019,157,JOSE BONIFACIO,ROUBO (ART. 157) - OUTROS,MOTOROLA
134,30/11/2018,155,SAO PAULO,,
600,31/08/2019,329,CARAPICUIBA,RESISTENCIA (ART. 329),
373,30/04/2018,157,PIRACICABA,ROUBO (ART. 157) - VEICULO,SAMSUNG
796,31/12/2019,157,SAO PAULO,ROUBO (ART. 157) - VEICULO,SAMSUNG
541,02/01/2019,155,SERTAOZINHO,FURTO (ART. 155) - INTERIOR DE VEICULO,MOTOROLA
1449,03/01/2021,157,SANTOS,ROUBO (ART. 157) - TRANSEUNTE,OUTROS
388,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
473,31/01/2019,155,SAO BERNARDO DO CAMPO,FURTO (ART. 155) - INTERIOR TRANSPORTE COLETIVO,MOTOROLA
805,01/01/2020,157,PRAIA GRANDE,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
552,30/01/2019,155,SOROCABA,FURTO (ART. 155) - OUTROS,SAMSUNG
625,30/08/2019,157,EMBU DAS ARTES,ROUBO (ART. 157) - OUTROS,SAMSUNG
874,31/12/2019,157,SUZANO,ROUBO (ART. 157) - VEICULO,MICROSOFT
699,31/08/2019,,,ROUBO (ART. 157) - OUTROS,SAMSUNG
945,01/01/2020,157,SANTO ANDRE,ROUBO (ART. 157) - OUTROS,SAMSUNG
507,31/01/2019,155,CAMPINAS,FURTO (ART. 155) - OUTROS,MOTOROLA
712,09/01/2019,157,SANTA ISABEL,ROUBO (ART. 157) - TRANSEUNTE,
1300,12/01/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,XIAOMI
608,17/08/2019,157,SAO PAULO,ROUBO (ART. 157) - INTERIOR DE VEICULO,SAMSUNG
221,30/04/2018,,,,
219,30/04/2018,,SAO PAULO,A.I.-ROUBO (ART. 157) - TRANSEUNTE,OUTROS
1192,30/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
324,30/04/2018,157,SAO PAULO,ROUBO (ART. 157) - INTERIOR DE VEICULO,SAMSUNG
1507,26/02/2021,157,SAO JOSE DOS CAMPOS,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
1136,31/08/2020,155,SAO PAULO,FURTO (ART. 155) - TRANSEUNTE,ASUS
165,30/11/2018,155,SAO PAULO,FURTO (ART. 155) - OUTROS,
